"gender","year","count"
M,1989.0,503
M,1945.0,165
M,1923.0,18
M,1964.0,285
N,1967.0,648
N,1983.0,626
M,1939.0,175
N,1988.0,600
N,1957.0,652
M,1969.0,273
M,1976.0,320
N,1968.0,676
M,1974.0,269
M,1944.0,177
N,1973.0,604
N,1977.0,573
N,1958.0,631
M,1921.0,9
N,1937.0,343
N,1981.0,563
N,1955.0,637
M,1982.0,331
M,1928.0,45
N,1965.0,590
N,1954.0,611
N,1939.0,369
M,1924.0,15
M,1955.0,266
N,1952.0,634
N,1936.0,291
N,1974.0,639
N,1972.0,661
N,1921.0,18
M,1961.0,297
N,1929.0,139
M,1934.0,89
M,1949.0,262
M,1971.0,299
M,1951.0,267
M,1938.0,175
M,1978.0,289
N,1941.0,445
N,1989.0,621
M,1979.0,305
M,1948.0,247
M,1993.0,6
M,1963.0,287
N,1918.0,10
M,1966.0,273
M,1983.0,403
M,1943.0,194
M,1985.0,403
N,1935.0,296
N,1938.0,386
N,1979.0,565
M,1940.0,153
N,1994.0,10
N,1934.0,228
N,1943.0,328
N,1975.0,590
M,1994.0,10
N,1987.0,574
N,1933.0,229
N,1963.0,599
M,1953.0,238
N,1991.0,245
M,1984.0,365
N,1961.0,670
M,1959.0,294
N,1960.0,653
N,1920.0,18
N,1927.0,102
M,1941.0,222
N,1970.0,712
M,1952.0,268
N,1931.0,192
M,1933.0,120
N,1923.0,47
N,1971.0,635
M,1988.0,587
N,1932.0,218
N,1949.0,603
N,1969.0,681
M,1970.0,325
N,1925.0,77
N,1953.0,567
M,1957.0,309
N,1919.0,12
M,1965.0,261
M,1954.0,275
N,1926.0,94
M,1932.0,87
N,1930.0,182
M,1980.0,329
N,1928.0,135
M,1991.0,180
M,1973.0,289
N,1948.0,491
M,1937.0,148
M,1922.0,19
M,1981.0,339
N,1985.0,618
N,1951.0,590
M,1936.0,176
M,1942.0,218
M,1960.0,293
M,1968.0,303
M,1972.0,311
N,1947.0,495
N,1990.0,449
M,1950.0,257
N,1992.0,135
N,1978.0,597
N,1924.0,71
M,1946.0,243
N,1980.0,583
N,1944.0,361
N,1942.0,405
M,1975.0,266
M,1931.0,84
M,1977.0,330
M,1967.0,251
M,1986.0,419
N,1940.0,370
N,1993.0,13
M,1990.0,331
N,1976.0,585
M,1929.0,78
M,1935.0,125
N,1982.0,595
M,1930.0,95
N,1966.0,555
M,1927.0,41
N,1962.0,641
N,1959.0,653
M,1987.0,588
M,1992.0,93
M,1962.0,286
M,1926.0,39
M,1925.0,22
N,1964.0,685
N,1986.0,605
N,1950.0,572
N,1922.0,44
N,1956.0,631
N,1946.0,433
M,1947.0,250
N,1984.0,681
N,1945.0,346
M,1956.0,277
M,1958.0,243
